GROUPS,LOCREC_RED,LOCREC_CLEAR,METRIC_RED,METRIC_CLEAR,OBJECTREC_RED,OBJECTREC_CLEAR,TOPOLOGICAL_RED,TOPOLOGICAL_CLEAR,NOVEL_RED,NOVEL_CLEAR,TEMPORAL_RED,TEMPORAL_CLEAR,ALTERNATIONS,OBJECTREC_24_RED,OBJECTREC_24_CLEAR,AMBIGUOUS_RED,AMBIGUOUS_CLEAR,AMBIGUOUS_CTRL_RED,AMBIGUOUS_CTRL_CLEAR
2N,0.34,0.39,0.19,0.175,0.31,0.18,0.03,0.32,0.33,0.31,0.42,0.4,65,0.28,0.24,0.29,0.14,0.21,0.40
2N,0.15,0.45,0.21,0.36,0.39,0.33,0.035,0.35,0.29,0.25,0.4,0.38,72,0.29,0.31,0.43,0.35,0.40,0.32
2N,0.43,0.23,0.08,0.295,0.43,0.33,0.02,0.26,0.39,0.39,0.31,0.5,58,0.33,0.25,0.28,0.41,0.31,0.41
2N,0.3,0.28,0.05,0.345,0.28,0.12,-0.043,0.39,0.32,0.42,0.29,0.29,81,0.18,0.19,0.31,0.18,0.29,0.28
2N,0.21,0.18,0.15,0.19,0.25,0.29,-0.0306,0.306,0.28,0.41,0.48,0.33,70,0.15,0.17,0.38,0.19,0.43,0.19
2N,0.38,0.41,0.22,0.21,0.38,0.15,0.05,0.39,0.38,0.37,0.45,0.38,73,0.28,0.23,0.28,0.2,0.31,0.3
2N,0.25,0.58,0.17,0.43,0.42,0.38,0.1,0.41,0.2,0.21,0.5,0.41,81,0.32,0.29,0.39,0.28,0.51,0.28
2N,0.51,0.2,0.1,0.25,0.19,0.27,-0.09,0.29,0.19,0.43,0.21,0.37,59,0.13,0.11,0.21,0.37,0.19,0.37
2N,0.24,0.11,0.09,0.18,0.21,0.19,0.06,0.21,0.43,0.2,0.27,0.45,62,0.18,0.17,0.18,0.15,0.24,0.10
2N,0.38,0.6,0.14,0.26,0.35,0.14,0.02,0.19,0.5,0.5,0.35,0.19,93,0.25,0.35,0.38,0.18,0.39,0.17
Ts65Dn,-0.1,-0.14,-0.05,0.01,0.27,0.1,-0.025,-0.18,0.29,-0.15,0.35,0.02,48,0.08,-0.08,0.2,0.12,0.2,0.31
Ts65Dn,-0.05,-0.19,0.05,-0.12,0.21,-0.05,0.035,-0.2,0.33,-0.08,0.29,0.14,57,0.13,-0.02,0.17,-0.025,0.51,0.130
Ts65Dn,0.05,-0.03,-0.1,-0.18,0.38,0.08,-0.17,0.01,0.2,-0.19,0.38,0.18,61,-0.03,0.03,0.41,-0.034,0.38,0.120
Ts65Dn,-0.11,-0.17,0.07,-0.28,0.4,-0.04,0.011,-0.09,0.35,-0.01,0.23,0.08,35,0.05,0.05,0.39,-0.04,0.28,0.10
Ts65Dn,-0.03,0.03,-0.03,-0.34,0.25,-0.09,-0.15,-0.1,0.23,0,0.25,0.06,51,-0.07,-0.13,0.48,-0.02,0.43,0.09
Ts65Dn,0.01,0.07,0.03,0.08,0.21,0.09,0.09,-0.17,0.31,-0.19,0.27,0.07,46,-0.1,0.12,0.51,0.08,0.51,0.21
Ts65Dn,-0.05,0.09,0.021,-0.22,0.39,-0.1,-0.1,0.07,0.4,-0.07,0.39,-0.08,31,0.09,0.02,0.35,0.05,0.40,0.01
Ts65Dn,-0.07,0.1,-0.01,-0.01,0.42,0.098,0.01,0.04,0.2,0.01,0.48,-0.04,28,0.13,0.01,0.23,0.03,0.21,0.00
Ts65Dn,0.09,-0.08,-0.1,0.09,0.15,0.12,-0.07,-0.01,0.17,0.1,0.21,0.13,47,0.11,-0.025,0.18,0.1,0.20,0.1
Ts65Dn,0.11,-0.1,0.05,0.07,0.1,-0.003,0.1,0.08,0.11,0.02,0.19,0.075,60,-0.089,0.0889,0.2,-0.13,0.1,0.21